anio,mes,ciclo_laboral,day,dia_label,fin_de_semana,principo_mes,fin_de_mes,hora,noche,horario_bancario,delito_tipo,delito_subtipo,uso_arma,calle,cajeros_a_100,cajeros_a_200,banco,red,bancos_a_100,bancos_a_200,comisarias_a_100,comisarias_a_200,precio_m2_usd,densidad_pob,pct_hogares_nbi,barrio,comuna
2016,MARZO,Ciclo laboral,24,JUEVES,no,no,si,6,si,no,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2737,3584.6501596831276,0.004132231404958678,VILLA DEVOTO,11
2016,MARZO,Ciclo laboral,29,MARTES,no,no,si,8,no,no,Robo,Robo total,NO,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,1927,12559.247526033523,0,VILLA REAL,10
2016,MARZO,Ciclo laboral,6,DOMINGO,si,si,no,8,no,no,Robo,Robo total,NO,CALLE,si,si,Banco Santander Río,BANELCO,si,si,no,no,2737,7049.66964710979,0.003289473684210526,VILLA DEVOTO,11
2016,MARZO,Ciclo laboral,31,JUEVES,no,no,si,17,no,si,Robo,Robo automotor,SI,CALLE,no,si,BBVA Banco Francés,BANELCO,no,si,no,no,2173,7125.4169862743465,0.006802721088435374,LINIERS,9
2016,MARZO,Ciclo laboral,28,LUNES,no,no,si,2,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,1927,12214.707899021367,0.03488372093023256,VILLA REAL,10
2016,FEBRERO,Vacaciones,19,VIERNES,no,no,no,12,no,si,Robo,Robo total,NO,AVENIDA,si,si,Banco Itaú,BANELCO,si,si,no,no,2737,12152.748560202399,0.0035971223021582736,VILLA DEVOTO,11
2016,ABRIL,Ciclo laboral,28,JUEVES,no,no,si,14,no,si,Robo,Robo total,SI,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,1927,8102.7917489277015,0.002544529262086514,VILLA REAL,10
2016,ABRIL,Ciclo laboral,2,SABADO,si,si,no,13,no,no,Robo,Robo total,NO,PASAJE,no,si,BANCO DE LA NACION ARGENTINA,LINK,no,si,no,no,2737,15675.48390005211,0,VILLA DEVOTO,11
2016,ABRIL,Ciclo laboral,2,SABADO,si,si,no,20,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,1927,12578.886719810052,0,VILLA REAL,10
2016,ABRIL,Ciclo laboral,8,VIERNES,no,no,no,18,si,no,Robo,Robo total,NO,CALLE,no,si,Banco Santander Río,BANELCO,no,si,no,no,2737,7049.66964710979,0.003289473684210526,VILLA DEVOTO,11
2016,ABRIL,Ciclo laboral,20,MIERCOLES,no,no,no,12,no,si,Robo,Robo total,NO,PASAJE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2080,12796.697583877309,0.027777777777777776,MONTE CASTRO,10
2016,ABRIL,Ciclo laboral,14,JUEVES,no,no,no,12,no,si,Robo,Robo total,NO,CALLE,no,no,BANCO DE LA PROVINCIA DE BUENOS AIRES,LINK,no,no,no,no,1927,9330.685757391493,0.014164305949008499,VILLA REAL,10
2016,ABRIL,Ciclo laboral,29,VIERNES,no,no,si,21,si,no,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,no,no,no,no,2173,8784.2420427764,0,LINIERS,9
2016,MAYO,Ciclo laboral,14,SABADO,si,no,no,20,si,no,Robo,Robo total,SI,AVENIDA,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,1927,8915.421469958712,0,VILLA REAL,10
2016,MAYO,Ciclo laboral,3,MARTES,no,si,no,18,si,no,Robo,Robo total,SI,AVENIDA,no,no,Banco Itaú,BANELCO,no,no,no,no,2173,7064.506596643527,0.10266159695817491,LINIERS,9
2016,MAYO,Ciclo laboral,18,MIERCOLES,no,no,no,13,no,si,Robo,Robo total,SI,CALLE,no,si,Banco Itaú,BANELCO,no,si,no,no,2173,12864.038105693453,0.014534883720930232,LINIERS,9
2016,MAYO,Ciclo laboral,5,JUEVES,no,si,no,21,si,no,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,1761,9982.5220201912,0,VERSALLES,10
2016,MAYO,Ciclo laboral,16,LUNES,no,no,no,23,si,no,Robo,Robo total,SI,CALLE,si,si,CitiBank,BANELCO,si,si,no,no,2173,10819.971030883213,0.029288702928870293,LINIERS,9
2016,MAYO,Ciclo laboral,6,VIERNES,no,si,no,10,no,si,Robo,Robo total,NO,CALLE,no,no,CitiBank,BANELCO,no,no,no,no,2173,11020.369041227324,0,LINIERS,9
2016,MAYO,Ciclo laboral,8,DOMINGO,si,no,no,18,si,no,Robo,Robo total,NO,CALLE,si,si,BBVA Banco Francés,BANELCO,si,si,no,no,2173,7125.4169862743465,0.006802721088435374,LINIERS,9
2016,MAYO,Ciclo laboral,26,JUEVES,no,no,si,11,no,si,Robo,Robo total,SI,PASAJE,no,no,Banco Galicia,BANELCO,no,no,si,si,1761,8047.020690889305,0,VERSALLES,10
2016,MAYO,Ciclo laboral,18,MIERCOLES,no,no,no,12,no,si,Robo,Robo total,NO,AVENIDA,si,si,HSBC Bank Argentina,BANELCO,si,si,no,no,2173,33809.69515232973,0.007380073800738007,LINIERS,9
2016,MAYO,Ciclo laboral,16,LUNES,no,no,no,22,si,no,Robo,Robo total,SI,CALLE,no,si,CABAL COOP. LTDA.,LINK,no,si,no,no,2173,15186.550237503667,0.0189873417721519,LINIERS,9
2016,MAYO,Ciclo laboral,9,LUNES,no,no,no,16,no,si,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2737,9697.894197872743,0.0031645569620253164,VILLA DEVOTO,11
2016,MAYO,Ciclo laboral,10,MARTES,no,no,no,19,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Santander Río,BANELCO,no,no,no,no,2737,12363.967298865968,0.0032679738562091504,VILLA DEVOTO,11
2016,MAYO,Ciclo laboral,9,LUNES,no,no,no,23,si,no,Robo,Robo total,NO,CALLE,no,no,HSBC Bank Argentina,BANELCO,no,no,no,no,2737,15667.321999411712,0.0028328611898017,VILLA DEVOTO,11
2016,JUNIO,Ciclo laboral,27,LUNES,no,no,si,6,si,no,Robo,Robo total,NO,CALLE,si,si,Banco Patagonia,BANELCO,no,si,no,no,1927,13886.448216023478,0.0056657223796034,VILLA REAL,10
2016,MAYO,Ciclo laboral,21,SABADO,si,no,no,18,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,2030,4736.446738212539,0.007434944237918215,MATADEROS,9
2016,JUNIO,Ciclo laboral,17,VIERNES,no,no,no,14,no,si,Robo,Robo total,NO,CALLE,no,no,CitiBank,BANELCO,no,no,no,no,2173,14413.535999099679,0.023809523809523808,LINIERS,9
2016,JUNIO,Ciclo laboral,12,DOMINGO,si,no,no,5,si,no,Robo,Robo total,SI,PASAJE,no,si,Banco Galicia,BANELCO,no,no,no,no,2737,15232.62605337237,0.017123287671232876,VILLA DEVOTO,11
2016,JUNIO,Ciclo laboral,13,LUNES,no,no,no,14,no,si,Robo,Robo total,NO,CALLE,no,no,Banco Galicia,BANELCO,no,no,no,no,1761,12955.362886563147,0.013513513513513514,VERSALLES,10
2016,JUNIO,Ciclo laboral,7,MARTES,no,si,no,20,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,2030,4736.446738212539,0.007434944237918215,MATADEROS,9
2016,JUNIO,Ciclo laboral,17,VIERNES,no,no,no,6,si,no,Robo,Robo total,NO,CALLE,no,no,HSBC Bank Argentina,BANELCO,no,no,no,no,2737,11175.719881843008,0.010714285714285714,VILLA DEVOTO,11
2016,JUNIO,Ciclo laboral,21,MARTES,no,no,no,22,si,no,Robo,Robo total,NO,AVENIDA,si,si,Banco Galicia,BANELCO,no,no,no,no,2173,959.1956663201847,0,LINIERS,9
2016,JUNIO,Ciclo laboral,7,MARTES,no,si,no,7,no,no,Robo,Robo total,SI,CALLE,no,no,CABAL COOP. LTDA.,LINK,no,no,no,no,1761,11284.657645535814,0.0034965034965034965,VERSALLES,10
2016,JUNIO,Ciclo laboral,1,MIERCOLES,no,si,no,12,no,si,Robo,Robo total,SI,CALLE,no,si,BANCO DE LA CIUDAD DE BUENOS AIRES,LINK,si,si,no,no,2173,13301.771518815858,0.0057306590257879654,LINIERS,9
2016,JUNIO,Ciclo laboral,18,SABADO,si,no,no,22,si,no,Robo,Robo total,SI,AVENIDA,no,no,HSBC Bank Argentina,BANELCO,no,no,no,no,2737,14178.446042900146,0,VILLA DEVOTO,11
2016,JUNIO,Ciclo laboral,30,JUEVES,no,no,si,10,no,si,Robo,Robo total,SI,AVENIDA,no,no,BANCO PIANO S.A.,LINK,no,no,no,no,2737,7726.004151370016,0.008310249307479225,VILLA DEVOTO,11
2016,JUNIO,Ciclo laboral,9,JUEVES,no,no,no,4,si,no,Robo,Robo total,NO,AVENIDA,si,si,CABAL COOP. LTDA.,LINK,no,no,no,no,2173,959.1956663201847,0,LINIERS,9
2016,JUNIO,Ciclo laboral,15,MIERCOLES,no,no,no,8,no,no,Robo,Robo total,NO,CALLE,no,si,HSBC Bank Argentina,BANELCO,no,no,no,no,2737,6440.256043611564,0.009009009009009009,VILLA DEVOTO,11
2016,JUNIO,Ciclo laboral,22,MIERCOLES,no,no,no,22,si,no,Robo,Robo total,NO,CALLE,si,si,HSBC Bank Argentina,BANELCO,no,no,no,no,2737,6440.256043611564,0.009009009009009009,VILLA DEVOTO,11
2016,JULIO,Ciclo laboral,18,LUNES,no,no,no,9,no,no,Robo,Robo total,NO,AVENIDA,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,2737,15232.62605337237,0.017123287671232876,VILLA DEVOTO,11
2016,JULIO,Ciclo laboral,29,VIERNES,no,no,si,20,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,1927,8102.7917489277015,0.002544529262086514,VILLA REAL,10
2016,JULIO,Ciclo laboral,25,LUNES,no,no,si,23,si,no,Robo,Robo total,SI,CALLE,no,no,Banco Galicia,BANELCO,no,no,no,no,1761,12506.65351073186,0.005405405405405406,VERSALLES,10
2016,JULIO,Ciclo laboral,4,LUNES,no,si,no,18,si,no,Robo,Robo total,NO,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,2173,12433.61220204904,0.014619883040935672,LINIERS,9
2016,AGOSTO,Ciclo laboral,29,LUNES,no,no,si,10,no,si,Robo,Robo total,NO,CALLE,no,no,Banco Patagonia,BANELCO,no,no,no,no,1927,8915.421469958712,0,VILLA REAL,10
2016,AGOSTO,Ciclo laboral,16,MARTES,no,no,no,12,no,si,Robo,Robo total,NO,CALLE,no,no,Banco Galicia,BANELCO,no,no,no,no,1761,9982.5220201912,0,VERSALLES,10
2016,AGOSTO,Ciclo laboral,8,LUNES,no,no,no,11,no,si,Robo,Robo total,SI,CALLE,no,no,BANCO DE LA NACION ARGENTINA,LINK,no,no,no,no,1761,8829.76379537118,0.023255813953488372,VERSALLES,10
